"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\about_the_app_page.dart", "Dart", 30, 0, 8, 38
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\admin_instruction_page.dart", "Dart", 27, 0, 7, 34
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\login_page.dart", "Dart", 281, 0, 7, 288
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\main_page_admin.dart", "Dart", 244, 9, 6, 259
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\main_page_user.dart", "Dart", 267, 3, 9, 279
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\search_page.dart", "Dart", 75, 0, 4, 79
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\signup_page.dart", "Dart", 305, 3, 7, 315
"d:\Flutter-Projects\pr1\lib\Screens\appScreens\spalsh_screen.dart", "Dart", 35, 0, 6, 41
"d:\Flutter-Projects\pr1\lib\Screens\schoolScreens\add_school_page.dart", "Dart", 477, 0, 5, 482
"d:\Flutter-Projects\pr1\lib\Screens\schoolScreens\schools_page.dart", "Dart", 110, 3, 4, 117
"d:\Flutter-Projects\pr1\lib\Screens\userScreens\add_user_page.dart", "Dart", 266, 3, 8, 277
"d:\Flutter-Projects\pr1\lib\Screens\userScreens\users_page_accouts.dart", "Dart", 144, 3, 6, 153
"d:\Flutter-Projects\pr1\lib\data.dart", "Dart", 8, 0, 1, 9
"d:\Flutter-Projects\pr1\lib\dropdown_list.dart", "Dart", 25, 0, 3, 28
"d:\Flutter-Projects\pr1\lib\main.dart", "Dart", 63, 0, 3, 66
"d:\Flutter-Projects\pr1\lib\models\database_helper.dart", "Dart", 63, 0, 8, 71
"d:\Flutter-Projects\pr1\lib\models\school.dart", "Dart", 39, 0, 3, 42
"d:\Flutter-Projects\pr1\lib\models\user.dart", "Dart", 15, 0, 3, 18
"d:\Flutter-Projects\pr1\lib\providers\schools_provider.dart", "Dart", 42, 0, 7, 49
"d:\Flutter-Projects\pr1\lib\providers\users_provider.dart", "Dart", 28, 0, 7, 35
"d:\Flutter-Projects\pr1\lib\widgets\school_detail_item.dart", "Dart", 105, 0, 3, 108
"d:\Flutter-Projects\pr1\lib\widgets\user_detail_item.dart", "Dart", 39, 0, 3, 42
"Total", "-", 2688, 24, 118, 2830
